,loss,val_loss
0,-80.85350334472656,-100.28945183105469
1,-101.42314961751302,-105.04805178222657
2,-104.51530104980469,-106.91840895996094
3,-106.01143051350911,-107.87089791259766
4,-106.87594737141927,-108.38220788574219
5,-107.44061304931641,-108.8987564453125
6,-107.83914497884115,-109.08692430419921
7,-108.134535546875,-109.2375349243164
8,-108.35831477864583,-109.38060887451172
9,-108.55571030273437,-109.61091810302734
10,-108.71139930826823,-109.71679650878906
11,-108.84586907552084,-109.80754598388671
12,-108.95110615234375,-109.83131359863282
13,-109.0659592976888,-109.95270432128906
14,-109.15301674397786,-109.9819247680664
15,-109.22747215169271,-110.06629891357422
16,-109.30871461995443,-110.0516286743164
17,-109.3736909749349,-110.14738427734375
18,-109.43085470784506,-110.14276455078125
19,-109.49289337565104,-110.17037736816407
20,-109.53579154052734,-110.19425239257812
21,-109.57983670654296,-110.25577885742187
22,-109.61274952392579,-110.36331193847656
23,-109.66105508626302,-110.35446870117187
24,-109.70372816569011,-110.29904085693359
25,-109.7315143717448,-110.36983588867187
26,-109.77247276204427,-110.33720295410156
27,-109.79544683024089,-110.3357683959961
28,-109.82117005208333,-110.32669310302734
29,-109.85064304199219,-110.41917604980469
30,-109.86657735188803,-110.45256057128907
31,-109.89696114908854,-110.444441796875
32,-109.92136137695313,-110.44111743164062
33,-109.95054026692708,-110.47917736816406
34,-109.96786145019531,-110.46080014648437
35,-109.98738009033202,-110.52410834960938
36,-110.00169883219401,-110.48164635009766
37,-110.02334270426432,-110.497896875
38,-110.04624724934895,-110.52229686279297
39,-110.05592056477865,-110.45953487548829
40,-110.0728421101888,-110.529519921875
41,-110.08275810139973,-110.50681519775391
42,-110.10732116292317,-110.55882139892579
43,-110.12356830647786,-110.58697866210937
44,-110.12935376790365,-110.57297741699219
45,-110.14177954101562,-110.46286761474609
46,-110.16253130289714,-110.57657841796875
47,-110.17331637776692,-110.54310588378907
48,-110.18504139404297,-110.56709578857422
49,-110.19254134521485,-110.60147937011719
