,episode_length,episode_reward
354,216,-215.0
355,224,-223.0
356,209,-208.0
357,500,-500.0
358,500,-500.0
359,500,-500.0
360,500,-500.0
361,349,-348.0
362,215,-214.0
363,204,-203.0
364,462,-461.0
365,165,-164.0
366,500,-500.0
367,173,-172.0
368,500,-500.0
369,500,-500.0
370,500,-500.0
371,500,-500.0
372,425,-424.0
373,500,-500.0
374,286,-285.0
375,449,-448.0
376,500,-500.0
377,500,-500.0
378,500,-500.0
379,500,-500.0
380,473,-472.0
381,119,-118.0
382,145,-144.0
383,172,-171.0
384,229,-228.0
385,167,-166.0
386,500,-500.0
387,500,-500.0
388,500,-500.0
389,500,-500.0
390,210,-209.0
391,207,-206.0
392,157,-156.0
393,134,-133.0
394,122,-121.0
395,105,-104.0
396,157,-156.0
397,449,-448.0
398,337,-336.0
399,217,-216.0
400,500,-500.0
401,500,-500.0
402,500,-500.0
403,500,-500.0
404,500,-500.0
405,500,-500.0
406,109,-108.0
407,431,-430.0
408,416,-415.0
409,500,-500.0
410,500,-500.0
411,328,-327.0
412,500,-500.0
413,500,-500.0
414,500,-500.0
415,500,-500.0
416,500,-500.0
417,323,-322.0
418,133,-132.0
419,153,-152.0
420,199,-198.0
421,273,-272.0
422,145,-144.0
423,500,-500.0
424,500,-500.0
425,500,-500.0
426,500,-500.0
427,500,-500.0
428,500,-500.0
429,427,-426.0
430,149,-148.0
431,223,-222.0
432,150,-149.0
433,153,-152.0
434,142,-141.0
435,376,-375.0
436,185,-184.0
437,500,-500.0
438,500,-500.0
439,279,-278.0
440,222,-221.0
441,500,-500.0
442,500,-500.0
443,500,-500.0
444,344,-343.0
445,161,-160.0
446,293,-292.0
447,333,-332.0
448,500,-500.0
449,500,-500.0
450,257,-256.0
451,235,-234.0
452,500,-500.0
453,253,-252.0
454,500,-500.0
455,500,-500.0
456,500,-500.0
457,473,-472.0
458,227,-226.0
459,205,-204.0
460,371,-370.0
461,500,-500.0
462,500,-500.0
463,500,-500.0
464,500,-500.0
465,371,-370.0
466,206,-205.0
467,500,-500.0
468,500,-500.0
469,500,-500.0
470,500,-500.0
471,500,-500.0
472,500,-500.0
473,180,-179.0
474,500,-500.0
475,500,-500.0
476,500,-500.0
477,500,-500.0
478,486,-485.0
479,136,-135.0
480,170,-169.0
481,143,-142.0
482,289,-288.0
483,372,-371.0
484,500,-500.0
485,500,-500.0
486,500,-500.0
487,500,-500.0
488,465,-464.0
489,207,-206.0
490,116,-115.0
491,202,-201.0
492,222,-221.0
493,153,-152.0
494,249,-248.0
495,500,-500.0
496,500,-500.0
497,250,-249.0
498,491,-490.0
499,500,-500.0
500,500,-500.0
501,500,-500.0
502,401,-400.0
503,177,-176.0
504,165,-164.0
505,219,-218.0
506,118,-117.0
507,121,-120.0
508,158,-157.0
509,234,-233.0
510,500,-500.0
511,500,-500.0
512,365,-364.0
513,98,-97.0
514,160,-159.0
515,137,-136.0
516,169,-168.0
517,249,-248.0
518,191,-190.0
519,328,-327.0
520,500,-500.0
521,500,-500.0
522,500,-500.0
523,258,-257.0
524,156,-155.0
525,172,-171.0
526,222,-221.0
527,147,-146.0
528,500,-500.0
529,461,-460.0
530,500,-500.0
531,361,-360.0
532,282,-281.0
533,171,-170.0
534,200,-199.0
535,421,-420.0
536,500,-500.0
537,500,-500.0
538,500,-500.0
539,263,-262.0
540,500,-500.0
541,500,-500.0
542,500,-500.0
543,500,-500.0
544,500,-500.0
545,500,-500.0
546,500,-500.0
547,500,-500.0
548,500,-500.0
549,500,-500.0
550,500,-500.0
551,500,-500.0
552,500,-500.0
553,500,-500.0
554,500,-500.0
555,500,-500.0
556,500,-500.0
557,500,-500.0
558,500,-500.0
559,500,-500.0
560,500,-500.0
561,500,-500.0
562,500,-500.0
563,500,-500.0
564,500,-500.0
565,476,-475.0
566,338,-337.0
567,393,-392.0
568,185,-184.0
569,175,-174.0
570,249,-248.0
571,370,-369.0
572,273,-272.0
573,196,-195.0
574,210,-209.0
575,128,-127.0
576,177,-176.0
577,191,-190.0
578,190,-189.0
579,179,-178.0
580,172,-171.0
581,500,-500.0
582,500,-500.0
583,500,-500.0
584,500,-500.0
585,253,-252.0
586,126,-125.0
587,131,-130.0
588,145,-144.0
589,137,-136.0
590,455,-454.0
591,500,-500.0
592,500,-500.0
593,500,-500.0
594,417,-416.0
595,500,-500.0
596,500,-500.0
597,500,-500.0
598,500,-500.0
599,500,-500.0
600,500,-500.0
601,350,-349.0
602,500,-500.0
603,500,-500.0
604,500,-500.0
605,427,-426.0
606,218,-217.0
607,500,-500.0
608,396,-395.0
609,500,-500.0
610,500,-500.0
611,500,-500.0
612,347,-346.0
613,358,-357.0
614,329,-328.0
615,500,-500.0
616,500,-500.0
617,500,-500.0
618,500,-500.0
619,500,-500.0
620,500,-500.0
621,500,-500.0
622,500,-500.0
623,500,-500.0
624,500,-500.0
625,500,-500.0
626,500,-500.0
627,500,-500.0
628,500,-500.0
629,500,-500.0
630,500,-500.0
631,500,-500.0
632,500,-500.0
633,500,-500.0
634,500,-500.0
635,500,-500.0
636,500,-500.0
637,500,-500.0
638,500,-500.0
639,500,-500.0
640,500,-500.0
641,500,-500.0
642,500,-500.0
643,500,-500.0
644,500,-500.0
645,500,-500.0
646,500,-500.0
647,500,-500.0
648,500,-500.0
649,500,-500.0
650,282,-281.0
651,200,-199.0
652,112,-111.0
653,193,-192.0
654,160,-159.0
655,173,-172.0
656,168,-167.0
657,168,-167.0
658,500,-500.0
659,500,-500.0
660,424,-423.0
661,500,-500.0
662,500,-500.0
663,500,-500.0
664,500,-500.0
665,361,-360.0
666,500,-500.0
667,500,-500.0
668,500,-500.0
669,466,-465.0
670,500,-500.0
671,500,-500.0
672,500,-500.0
673,500,-500.0
674,500,-500.0
675,500,-500.0
676,500,-500.0
677,192,-191.0
678,285,-284.0
679,500,-500.0
680,500,-500.0
681,500,-500.0
682,500,-500.0
683,327,-326.0
684,165,-164.0
685,153,-152.0
686,170,-169.0
687,232,-231.0
688,500,-500.0
689,500,-500.0
690,500,-500.0
691,500,-500.0
692,348,-347.0
693,125,-124.0
694,139,-138.0
695,128,-127.0
696,178,-177.0
697,215,-214.0
698,500,-500.0
699,500,-500.0
700,345,-344.0
701,360,-359.0
702,270,-269.0
703,500,-500.0
704,500,-500.0
705,500,-500.0
706,500,-500.0
707,500,-500.0
708,500,-500.0
709,500,-500.0
710,500,-500.0
711,239,-238.0
712,137,-136.0
713,157,-156.0
714,150,-149.0
715,212,-211.0
716,195,-194.0
717,500,-500.0
718,500,-500.0
719,500,-500.0
720,500,-500.0
721,189,-188.0
722,500,-500.0
723,500,-500.0
724,500,-500.0
725,500,-500.0
726,500,-500.0
727,496,-495.0
728,155,-154.0
729,155,-154.0
730,201,-200.0
731,373,-372.0
732,500,-500.0
733,500,-500.0
734,500,-500.0
735,197,-196.0
736,236,-235.0
737,229,-228.0
738,257,-256.0
739,500,-500.0
740,500,-500.0
741,500,-500.0
742,500,-500.0
743,500,-500.0
744,162,-161.0
745,183,-182.0
746,109,-108.0
747,123,-122.0
748,135,-134.0
749,91,-90.0
750,118,-117.0
751,500,-500.0
752,500,-500.0
753,250,-249.0
754,500,-500.0
755,500,-500.0
756,500,-500.0
757,500,-500.0
