,episode_length,episode_reward
354,81,-80.0
355,95,-94.0
356,76,-75.0
357,81,-80.0
358,76,-75.0
359,93,-92.0
360,90,-89.0
361,81,-80.0
362,103,-102.0
363,83,-82.0
364,83,-82.0
365,88,-87.0
366,72,-71.0
367,96,-95.0
368,75,-74.0
369,102,-101.0
370,84,-83.0
371,77,-76.0
372,89,-88.0
373,81,-80.0
374,90,-89.0
375,86,-85.0
376,83,-82.0
377,92,-91.0
378,82,-81.0
379,85,-84.0
380,93,-92.0
381,117,-116.0
382,111,-110.0
383,98,-97.0
384,72,-71.0
385,73,-72.0
386,87,-86.0
387,102,-101.0
388,76,-75.0
389,72,-71.0
390,71,-70.0
391,107,-106.0
392,106,-105.0
393,78,-77.0
394,73,-72.0
395,82,-81.0
396,92,-91.0
397,78,-77.0
398,90,-89.0
399,89,-88.0
400,85,-84.0
401,109,-108.0
402,76,-75.0
403,105,-104.0
404,106,-105.0
405,100,-99.0
406,87,-86.0
407,101,-100.0
408,79,-78.0
409,72,-71.0
410,94,-93.0
411,100,-99.0
412,129,-128.0
413,80,-79.0
414,96,-95.0
415,109,-108.0
416,86,-85.0
417,81,-80.0
418,75,-74.0
419,64,-63.0
420,75,-74.0
421,83,-82.0
422,88,-87.0
423,94,-93.0
424,76,-75.0
425,72,-71.0
426,64,-63.0
427,101,-100.0
428,103,-102.0
429,94,-93.0
430,105,-104.0
431,93,-92.0
432,64,-63.0
433,87,-86.0
434,87,-86.0
435,88,-87.0
436,100,-99.0
437,93,-92.0
438,86,-85.0
439,77,-76.0
440,82,-81.0
441,87,-86.0
442,118,-117.0
443,77,-76.0
444,90,-89.0
445,94,-93.0
446,138,-137.0
447,71,-70.0
448,124,-123.0
449,91,-90.0
450,98,-97.0
451,87,-86.0
452,76,-75.0
453,149,-148.0
454,101,-100.0
455,94,-93.0
456,95,-94.0
457,96,-95.0
458,138,-137.0
459,85,-84.0
460,111,-110.0
461,83,-82.0
462,129,-128.0
463,96,-95.0
464,117,-116.0
465,93,-92.0
466,76,-75.0
467,82,-81.0
468,76,-75.0
469,79,-78.0
470,92,-91.0
471,89,-88.0
472,76,-75.0
473,95,-94.0
474,76,-75.0
475,78,-77.0
476,82,-81.0
477,79,-78.0
478,77,-76.0
479,113,-112.0
480,85,-84.0
481,72,-71.0
482,77,-76.0
483,75,-74.0
484,76,-75.0
485,89,-88.0
486,85,-84.0
487,85,-84.0
488,84,-83.0
489,90,-89.0
490,86,-85.0
491,111,-110.0
492,93,-92.0
493,72,-71.0
494,108,-107.0
495,89,-88.0
496,76,-75.0
497,95,-94.0
498,90,-89.0
499,76,-75.0
500,92,-91.0
501,76,-75.0
502,116,-115.0
503,93,-92.0
504,75,-74.0
505,106,-105.0
506,71,-70.0
507,70,-69.0
508,74,-73.0
509,102,-101.0
510,83,-82.0
511,98,-97.0
512,94,-93.0
513,94,-93.0
514,71,-70.0
515,180,-179.0
516,85,-84.0
517,101,-100.0
518,98,-97.0
519,89,-88.0
520,92,-91.0
521,108,-107.0
522,75,-74.0
523,103,-102.0
524,106,-105.0
525,88,-87.0
526,95,-94.0
527,120,-119.0
528,98,-97.0
529,76,-75.0
530,72,-71.0
531,64,-63.0
532,112,-111.0
533,88,-87.0
534,64,-63.0
535,73,-72.0
536,120,-119.0
537,77,-76.0
538,104,-103.0
539,107,-106.0
540,84,-83.0
541,76,-75.0
542,86,-85.0
543,78,-77.0
544,112,-111.0
545,97,-96.0
546,79,-78.0
547,90,-89.0
548,85,-84.0
549,94,-93.0
550,71,-70.0
551,95,-94.0
552,63,-62.0
553,100,-99.0
554,113,-112.0
555,89,-88.0
556,107,-106.0
557,96,-95.0
558,79,-78.0
559,130,-129.0
560,65,-64.0
561,90,-89.0
562,88,-87.0
563,85,-84.0
564,92,-91.0
565,73,-72.0
566,71,-70.0
567,83,-82.0
568,90,-89.0
569,72,-71.0
570,77,-76.0
571,79,-78.0
572,72,-71.0
573,101,-100.0
574,76,-75.0
575,71,-70.0
576,110,-109.0
577,101,-100.0
578,103,-102.0
579,63,-62.0
580,75,-74.0
581,91,-90.0
582,91,-90.0
583,101,-100.0
584,95,-94.0
585,95,-94.0
586,92,-91.0
587,99,-98.0
588,87,-86.0
589,85,-84.0
590,86,-85.0
591,101,-100.0
592,79,-78.0
593,102,-101.0
594,103,-102.0
595,94,-93.0
596,76,-75.0
597,108,-107.0
598,82,-81.0
599,104,-103.0
600,139,-138.0
601,87,-86.0
602,92,-91.0
603,80,-79.0
604,73,-72.0
605,77,-76.0
606,99,-98.0
607,74,-73.0
608,85,-84.0
609,96,-95.0
610,64,-63.0
611,130,-129.0
612,88,-87.0
613,82,-81.0
614,65,-64.0
615,63,-62.0
616,64,-63.0
617,87,-86.0
618,90,-89.0
619,92,-91.0
620,85,-84.0
621,94,-93.0
622,87,-86.0
623,91,-90.0
624,86,-85.0
625,79,-78.0
626,91,-90.0
627,73,-72.0
628,75,-74.0
629,79,-78.0
630,78,-77.0
631,124,-123.0
632,84,-83.0
633,71,-70.0
634,84,-83.0
635,83,-82.0
636,78,-77.0
637,82,-81.0
638,96,-95.0
639,89,-88.0
640,78,-77.0
641,112,-111.0
642,75,-74.0
643,77,-76.0
644,82,-81.0
645,90,-89.0
646,83,-82.0
647,96,-95.0
648,81,-80.0
649,77,-76.0
650,70,-69.0
651,77,-76.0
652,83,-82.0
653,97,-96.0
654,86,-85.0
655,90,-89.0
656,85,-84.0
657,76,-75.0
658,99,-98.0
659,77,-76.0
660,97,-96.0
661,63,-62.0
662,94,-93.0
663,92,-91.0
664,121,-120.0
665,115,-114.0
666,99,-98.0
667,70,-69.0
668,91,-90.0
669,89,-88.0
670,72,-71.0
671,76,-75.0
672,73,-72.0
673,70,-69.0
674,93,-92.0
675,107,-106.0
676,76,-75.0
677,105,-104.0
678,106,-105.0
679,63,-62.0
680,77,-76.0
681,89,-88.0
682,104,-103.0
683,75,-74.0
684,99,-98.0
685,74,-73.0
686,84,-83.0
687,120,-119.0
688,87,-86.0
689,95,-94.0
