,episode_length,episode_reward
398,13,13.0
399,17,17.0
400,20,20.0
401,15,15.0
402,14,14.0
403,13,13.0
404,15,15.0
405,17,17.0
406,21,21.0
407,15,15.0
408,17,17.0
409,17,17.0
410,26,26.0
411,34,34.0
412,36,36.0
413,34,34.0
414,36,36.0
415,45,45.0
416,76,76.0
417,50,50.0
418,45,45.0
419,42,42.0
420,54,54.0
421,54,54.0
422,25,25.0
423,19,19.0
424,20,20.0
425,19,19.0
426,17,17.0
427,22,22.0
428,20,20.0
429,21,21.0
430,29,29.0
431,20,20.0
432,25,25.0
433,27,27.0
434,22,22.0
435,26,26.0
436,20,20.0
437,18,18.0
438,20,20.0
439,32,32.0
440,20,20.0
441,26,26.0
442,34,34.0
443,10,10.0
444,15,15.0
445,15,15.0
446,16,16.0
447,16,16.0
448,16,16.0
449,12,12.0
450,14,14.0
451,15,15.0
452,16,16.0
453,14,14.0
454,14,14.0
455,12,12.0
456,14,14.0
457,15,15.0
458,12,12.0
459,13,13.0
460,14,14.0
461,15,15.0
462,15,15.0
463,13,13.0
464,11,11.0
465,17,17.0
466,12,12.0
467,15,15.0
468,16,16.0
469,13,13.0
470,14,14.0
471,16,16.0
472,14,14.0
473,14,14.0
474,17,17.0
475,14,14.0
476,12,12.0
477,12,12.0
478,15,15.0
479,10,10.0
480,15,15.0
481,14,14.0
482,16,16.0
483,12,12.0
484,18,18.0
485,17,17.0
486,15,15.0
487,19,19.0
488,13,13.0
489,18,18.0
490,17,17.0
491,15,15.0
492,18,18.0
493,21,21.0
494,15,15.0
495,15,15.0
496,21,21.0
497,15,15.0
498,23,23.0
499,16,16.0
500,17,17.0
501,18,18.0
502,16,16.0
503,18,18.0
504,17,17.0
505,20,20.0
506,22,22.0
507,26,26.0
508,66,66.0
509,101,101.0
510,212,212.0
511,74,74.0
512,173,173.0
513,31,31.0
514,25,25.0
515,22,22.0
516,20,20.0
517,21,21.0
518,35,35.0
519,21,21.0
520,19,19.0
521,32,32.0
522,26,26.0
523,30,30.0
524,22,22.0
525,33,33.0
526,39,39.0
527,17,17.0
528,13,13.0
529,14,14.0
530,20,20.0
531,15,15.0
532,16,16.0
533,15,15.0
534,17,17.0
535,15,15.0
536,14,14.0
537,13,13.0
538,15,15.0
539,19,19.0
540,13,13.0
541,17,17.0
542,12,12.0
543,10,10.0
544,18,18.0
545,16,16.0
546,12,12.0
547,15,15.0
548,20,20.0
549,20,20.0
550,17,17.0
551,15,15.0
552,14,14.0
553,14,14.0
554,16,16.0
555,13,13.0
556,17,17.0
557,17,17.0
558,18,18.0
559,13,13.0
560,21,21.0
561,19,19.0
562,21,21.0
563,18,18.0
564,21,21.0
565,19,19.0
566,17,17.0
567,18,18.0
568,22,22.0
569,31,31.0
570,21,21.0
571,29,29.0
572,18,18.0
573,24,24.0
574,27,27.0
575,25,25.0
576,30,30.0
577,24,24.0
578,21,21.0
579,23,23.0
580,20,20.0
581,40,40.0
582,95,95.0
583,105,105.0
584,96,96.0
585,84,84.0
586,124,124.0
587,27,27.0
588,21,21.0
589,38,38.0
590,34,34.0
591,31,31.0
592,28,28.0
593,34,34.0
594,29,29.0
595,42,42.0
596,32,32.0
597,38,38.0
598,26,26.0
599,28,28.0
600,34,34.0
601,30,30.0
602,20,20.0
603,20,20.0
604,20,20.0
605,14,14.0
606,19,19.0
607,19,19.0
608,17,17.0
609,19,19.0
610,18,18.0
611,14,14.0
612,15,15.0
613,15,15.0
614,14,14.0
615,20,20.0
616,18,18.0
617,19,19.0
618,17,17.0
619,20,20.0
620,13,13.0
621,17,17.0
622,16,16.0
623,19,19.0
624,16,16.0
625,16,16.0
626,15,15.0
627,16,16.0
628,15,15.0
629,21,21.0
630,17,17.0
631,15,15.0
632,9,9.0
633,15,15.0
634,11,11.0
635,11,11.0
636,14,14.0
637,11,11.0
638,9,9.0
639,13,13.0
640,11,11.0
641,10,10.0
642,13,13.0
643,12,12.0
644,13,13.0
645,10,10.0
646,14,14.0
647,13,13.0
648,16,16.0
649,14,14.0
650,15,15.0
651,15,15.0
652,11,11.0
653,12,12.0
654,12,12.0
655,15,15.0
656,11,11.0
657,11,11.0
658,13,13.0
659,11,11.0
660,18,18.0
661,14,14.0
662,13,13.0
663,11,11.0
664,17,17.0
665,16,16.0
666,14,14.0
667,16,16.0
668,17,17.0
669,20,20.0
670,25,25.0
671,35,35.0
672,25,25.0
673,38,38.0
674,26,26.0
675,28,28.0
676,38,38.0
677,35,35.0
678,43,43.0
679,33,33.0
680,24,24.0
681,27,27.0
682,24,24.0
683,55,55.0
684,54,54.0
685,26,26.0
686,26,26.0
687,29,29.0
688,80,80.0
689,45,45.0
690,36,36.0
691,37,37.0
692,31,31.0
693,49,49.0
694,27,27.0
695,43,43.0
696,32,32.0
697,35,35.0
698,20,20.0
699,15,15.0
700,15,15.0
701,16,16.0
702,16,16.0
703,18,18.0
704,20,20.0
705,22,22.0
706,16,16.0
707,18,18.0
708,21,21.0
709,17,17.0
710,17,17.0
711,22,22.0
712,22,22.0
713,23,23.0
714,22,22.0
715,18,18.0
716,20,20.0
717,28,28.0
718,19,19.0
719,22,22.0
720,23,23.0
721,20,20.0
722,13,13.0
723,15,15.0
724,12,12.0
725,14,14.0
726,16,16.0
727,11,11.0
728,13,13.0
729,12,12.0
730,13,13.0
731,19,19.0
732,12,12.0
733,11,11.0
734,12,12.0
735,13,13.0
736,18,18.0
737,18,18.0
738,15,15.0
