,loss,val_loss
0,86.88063737060547,68.4330833984375
1,64.46512955200195,61.89877836914062
2,59.62409298339844,59.64571010742188
3,57.13886490356445,56.729891748046875
4,55.909752946777346,56.90805237426758
5,54.569014342041015,55.48578980102539
6,53.90213051513672,54.3837783203125
7,53.68485422485352,55.335496643066406
8,53.41628354248047,54.04063340454102
9,53.31359424926758,53.75274202880859
10,53.10913440551758,54.34178317871094
11,53.02553015991211,53.566907495117185
12,52.91294842041015,54.112717126464844
13,52.88791665405274,54.337722973632815
14,52.699258088378905,53.98794638671875
15,52.63583553466797,53.694899340820314
16,52.600605600585936,53.251348419189455
17,52.58093903442383,54.14395813598633
18,52.467277232666014,53.85623038330078
19,52.40213691162109,53.206803326416015
20,52.377194963378905,53.62234299316406
21,52.34283965698242,53.03240498657227
22,52.24580998046875,53.45678153076172
23,52.2352957434082,53.551574377441405
24,52.19095334106445,53.74597852783203
25,52.18745122802734,54.64475412597656
26,52.10088642578125,54.03603313598633
27,52.07662703125,53.89635828857422
28,52.06048204956055,52.917115283203124
29,52.0198450012207,53.29416671752929
30,51.99400574951172,53.05830571289062
31,51.99038971923828,54.067042700195316
32,51.92067114379883,53.70386038818359
33,51.925451525878906,53.20793290405273
34,51.864456594238284,52.815874688720704
35,51.85102637451172,56.77809855957031
36,51.844769169921875,53.13447139892578
37,51.809907280273436,52.900216235351564
38,51.76565870727539,53.05378864746094
39,51.75333151855469,53.40230828857422
40,51.78108805297852,52.818161895751956
41,51.69056805786133,53.2702080871582
42,51.73866990234375,53.22024253540039
43,51.68038987915039,53.059842956542965
44,51.673270185546876,53.00783345336914
45,51.63079991943359,53.13384278564453
46,51.61593817382813,53.353296923828125
47,51.72647855224609,53.10854715576172
48,51.59307841796875,53.9885865234375
49,51.59455115478516,52.84327916870117
