,accuracy,loss,val_accuracy,val_loss
0,0.8551999926567078,0.33212417364120483,0.8858000040054321,0.277194619178772
1,0.935949981212616,0.1695348620414734,0.8766000270843506,0.31634393334388733
2,0.9835000038146973,0.0484049990773201,0.8759999871253967,0.5167402029037476
3,0.9945499897003174,0.017194531857967377,0.8704000115394592,0.6518144607543945
4,0.9952999949455261,0.015148356556892395,0.8686000108718872,0.7824758887290955
5,0.995199978351593,0.014971766620874405,0.8704000115394592,0.7394782304763794
6,0.9956499934196472,0.013335435651242733,0.8668000102043152,0.9411739110946655
7,0.9972500205039978,0.007405592128634453,0.8787999749183655,0.8312743306159973
8,0.9986000061035156,0.004406578838825226,0.868399977684021,0.848746120929718
9,0.9971500039100647,0.00793182011693716,0.8700000047683716,1.0144046545028687
10,0.9977999925613403,0.0071629974991083145,0.871399998664856,1.0753146409988403
11,0.9965000152587891,0.01199379749596119,0.8736000061035156,0.8461198210716248
12,0.9984999895095825,0.004699322860687971,0.8700000047683716,0.9871323108673096
13,0.9994999766349792,0.0012942252214998007,0.8651999831199646,1.2591677904129028
14,0.9998000264167786,0.0006029933574609458,0.8697999715805054,1.2639607191085815
15,0.9954000115394592,0.015763023868203163,0.8697999715805054,1.1308108568191528
16,0.9973000288009644,0.007742375135421753,0.8668000102043152,1.2244441509246826
17,0.9994500279426575,0.001938828849233687,0.8564000129699707,1.4643440246582031
18,0.9998499751091003,0.00043580346391536295,0.8762000203132629,1.3018895387649536
19,1.0,3.286217906861566e-05,0.8769999742507935,1.385057806968689
