,accuracy,loss,val_accuracy,val_loss
0,0.8464499711990356,0.38355422019958496,0.8841999769210815,0.2921839952468872
1,0.9121500253677368,0.2291114777326584,0.8859999775886536,0.2914978861808777
2,0.9277999997138977,0.1928209513425827,0.8817999958992004,0.3084498643875122
3,0.9355499744415283,0.17390049993991852,0.8794000148773193,0.33368587493896484
4,0.9430500268936157,0.15626659989356995,0.8748000264167786,0.361534982919693
5,0.9505500197410583,0.1386736035346985,0.8655999898910522,0.4133187532424927
6,0.9559000134468079,0.12367814034223557,0.8679999709129333,0.44049301743507385
7,0.962149977684021,0.11081644147634506,0.8640000224113464,0.46427348256111145
8,0.9679999947547913,0.09554903954267502,0.8601999878883362,0.5071567893028259
9,0.9693999886512756,0.08820478618144989,0.8604000210762024,0.539151132106781
10,0.9744499921798706,0.07792986184358597,0.8597999811172485,0.5640972256660461
11,0.9775999784469604,0.06785787642002106,0.8551999926567078,0.623117208480835
12,0.9811999797821045,0.05921817570924759,0.8518000245094299,0.6828539371490479
13,0.9828500151634216,0.053096167743206024,0.8533999919891357,0.6996163129806519
14,0.9852499961853027,0.04546704888343811,0.8489999771118164,0.7497054934501648
15,0.9868500232696533,0.041856296360492706,0.8485999703407288,0.7408403754234314
16,0.9886999726295471,0.03447748348116875,0.8471999764442444,0.85660320520401
17,0.9885500073432922,0.03471088409423828,0.848800003528595,0.8758096694946289
18,0.990149974822998,0.029239850118756294,0.843999981880188,0.9142419695854187
19,0.9927499890327454,0.02246198244392872,0.8461999893188477,0.995945394039154
